Date,Open,High,Low,Close,Volume,Stock
2024-07-02 00:00:00-04:00,215.66,219.88,214.62,219.77,58046200,AAPL
2024-07-03 00:00:00-04:00,219.5,221.05,218.54,221.05,37369800,AAPL
2024-07-05 00:00:00-04:00,221.15,225.94,221.15,225.83,60412400,AAPL
2024-07-08 00:00:00-04:00,226.58,227.34,222.75,227.31,59085900,AAPL
2024-07-09 00:00:00-04:00,227.42,228.88,225.86,228.16,48076100,AAPL
2024-07-10 00:00:00-04:00,228.78,232.55,228.73,232.45,62627700,AAPL
2024-07-11 00:00:00-04:00,230.87,231.87,225.26,227.06,64710600,AAPL
2024-07-12 00:00:00-04:00,228.4,232.12,228.16,230.02,53046500,AAPL
2024-07-15 00:00:00-04:00,235.95,236.7,232.56,233.87,62631300,AAPL
2024-07-16 00:00:00-04:00,234.47,235.74,231.81,234.29,43234300,AAPL
2024-07-17 00:00:00-04:00,228.93,230.94,226.13,228.36,57345900,AAPL
2024-07-18 00:00:00-04:00,229.76,229.92,221.77,223.67,66034600,AAPL
2024-07-19 00:00:00-04:00,224.31,226.29,222.78,223.8,49151500,AAPL
2024-07-22 00:00:00-04:00,226.5,227.27,222.59,223.46,48201800,AAPL
2024-07-23 00:00:00-04:00,223.86,226.43,222.18,224.5,39960300,AAPL
2024-07-24 00:00:00-04:00,223.5,224.29,216.64,218.05,61777600,AAPL
2024-07-25 00:00:00-04:00,218.44,220.35,214.14,217.0,51391200,AAPL
2024-07-26 00:00:00-04:00,218.21,219.0,215.52,217.47,41601300,AAPL
2024-07-29 00:00:00-04:00,216.47,218.81,215.26,217.75,36311800,AAPL
2024-07-30 00:00:00-04:00,218.7,219.83,215.63,218.31,41643800,AAPL
2024-07-31 00:00:00-04:00,220.94,223.32,220.13,221.58,50036300,AAPL
2024-08-01 00:00:00-04:00,223.86,223.97,216.53,217.87,62501000,AAPL
2024-08-02 00:00:00-04:00,218.66,225.09,217.22,219.36,105568600,AAPL
2024-08-05 00:00:00-04:00,198.64,213.02,195.56,208.8,119548600,AAPL
2024-08-06 00:00:00-04:00,204.84,209.52,200.62,206.76,69660500,AAPL
2024-08-07 00:00:00-04:00,206.43,213.16,205.92,209.35,63516400,AAPL
2024-08-08 00:00:00-04:00,212.63,213.72,208.36,212.83,47161100,AAPL
2024-08-09 00:00:00-04:00,211.62,216.29,211.49,215.75,42201600,AAPL
2024-08-12 00:00:00-04:00,215.83,219.27,215.36,217.29,38028100,AAPL
2024-08-13 00:00:00-04:00,218.77,221.65,218.77,221.03,44155300,AAPL
2024-08-14 00:00:00-04:00,220.33,222.78,219.46,221.48,41960600,AAPL
2024-08-15 00:00:00-04:00,224.35,225.1,222.52,224.47,46414000,AAPL
2024-08-16 00:00:00-04:00,223.67,226.58,223.4,225.8,44340200,AAPL
2024-08-19 00:00:00-04:00,225.47,225.74,222.79,225.64,40687800,AAPL
2024-08-20 00:00:00-04:00,225.52,226.92,225.2,226.26,30299000,AAPL
2024-08-21 00:00:00-04:00,226.27,227.73,224.8,226.15,34765500,AAPL
2024-08-22 00:00:00-04:00,227.54,228.09,223.65,224.28,43695300,AAPL
2024-08-23 00:00:00-04:00,225.41,227.97,224.08,226.59,38677300,AAPL
2024-08-26 00:00:00-04:00,226.51,227.03,223.64,226.93,30602200,AAPL
2024-08-27 00:00:00-04:00,225.75,228.6,224.64,227.78,35934600,AAPL
2024-08-28 00:00:00-04:00,227.67,229.61,225.43,226.24,38052200,AAPL
2024-08-29 00:00:00-04:00,229.85,232.66,228.63,229.54,51906300,AAPL
2024-08-30 00:00:00-04:00,229.94,230.15,227.23,228.75,52990800,AAPL
2024-09-03 00:00:00-04:00,228.3,228.75,220.93,222.53,50190600,AAPL
2024-09-04 00:00:00-04:00,221.42,221.54,217.24,220.61,43840200,AAPL
2024-09-05 00:00:00-04:00,221.39,225.23,221.28,222.14,36615400,AAPL
2024-09-06 00:00:00-04:00,223.7,224.99,219.53,220.58,48423000,AAPL
2024-09-09 00:00:00-04:00,220.58,221.03,216.47,220.67,67180000,AAPL
2024-09-10 00:00:00-04:00,218.68,221.24,216.49,219.87,51591000,AAPL
2024-09-11 00:00:00-04:00,221.22,222.84,217.65,222.42,44587100,AAPL
2024-09-12 00:00:00-04:00,222.26,223.3,219.58,222.53,37498200,AAPL
2024-09-13 00:00:00-04:00,223.33,223.79,221.67,222.26,36766600,AAPL
2024-09-16 00:00:00-04:00,216.3,216.98,213.68,216.08,59357400,AAPL
2024-09-17 00:00:00-04:00,215.51,216.66,214.26,216.55,45519300,AAPL
2024-09-18 00:00:00-04:00,217.31,222.47,217.3,220.45,59894900,AAPL
2024-09-19 00:00:00-04:00,224.74,229.57,224.38,228.62,66781300,AAPL
2024-09-20 00:00:00-04:00,229.72,232.83,227.37,227.95,318679900,AAPL
2024-09-23 00:00:00-04:00,227.09,229.2,225.56,226.22,54146000,AAPL
2024-09-24 00:00:00-04:00,228.4,229.1,225.48,227.12,43556100,AAPL
2024-09-25 00:00:00-04:00,224.68,227.04,223.77,226.12,42308700,AAPL
2024-09-26 00:00:00-04:00,227.05,228.25,225.16,227.27,36636700,AAPL
2024-09-27 00:00:00-04:00,228.21,229.27,227.05,227.54,34026000,AAPL
2024-09-30 00:00:00-04:00,229.79,232.74,229.4,232.74,54541900,AAPL
2024-10-01 00:00:00-04:00,229.27,229.4,223.49,225.96,63285000,AAPL
2024-10-02 00:00:00-04:00,225.64,227.12,222.77,226.53,32880600,AAPL
2024-10-03 00:00:00-04:00,224.89,226.56,223.07,225.42,34044200,AAPL
2024-10-04 00:00:00-04:00,227.65,227.75,223.88,226.55,37245100,AAPL
2024-10-07 00:00:00-04:00,224.25,225.44,221.09,221.45,39505400,AAPL
2024-10-08 00:00:00-04:00,224.05,225.73,223.0,225.52,31855700,AAPL
2024-10-09 00:00:00-04:00,224.98,229.5,224.58,229.29,33591100,AAPL
2024-10-10 00:00:00-04:00,227.53,229.25,226.92,228.79,28183500,AAPL
2024-10-11 00:00:00-04:00,229.05,229.16,227.09,227.3,31759200,AAPL
2024-10-14 00:00:00-04:00,228.45,231.48,228.35,231.05,39882100,AAPL
2024-10-15 00:00:00-04:00,233.35,237.23,232.11,233.59,64751400,AAPL
2024-10-16 00:00:00-04:00,231.35,231.86,229.59,231.53,34082200,AAPL
2024-10-17 00:00:00-04:00,233.17,233.59,230.27,231.89,32993800,AAPL
2024-10-18 00:00:00-04:00,235.92,235.92,233.75,234.74,46431500,AAPL
2024-10-21 00:00:00-04:00,234.19,236.59,234.19,236.22,36254500,AAPL
2024-10-22 00:00:00-04:00,233.63,235.96,232.34,235.6,38846600,AAPL
2024-10-23 00:00:00-04:00,233.82,234.88,227.51,230.51,52287000,AAPL
2024-10-24 00:00:00-04:00,229.73,230.57,228.16,230.32,31109500,AAPL
2024-10-25 00:00:00-04:00,229.49,232.96,229.32,231.16,38802300,AAPL
2024-10-28 00:00:00-04:00,233.06,234.47,232.29,233.14,36087100,AAPL
2024-10-29 00:00:00-04:00,232.84,234.07,232.06,233.41,35417200,AAPL
2024-10-30 00:00:00-04:00,232.35,233.21,229.3,229.85,47070900,AAPL
2024-10-31 00:00:00-04:00,229.09,229.58,225.12,225.66,64370100,AAPL
2024-11-01 00:00:00-04:00,220.73,225.1,220.03,222.67,65276700,AAPL
2024-11-04 00:00:00-05:00,220.75,222.55,219.47,221.77,44944500,AAPL
2024-11-05 00:00:00-05:00,221.56,223.7,220.9,223.2,28111300,AAPL
2024-11-06 00:00:00-05:00,222.37,225.82,220.95,222.48,54561100,AAPL
2024-11-07 00:00:00-05:00,224.38,227.63,224.32,227.23,42137700,AAPL
2024-11-08 00:00:00-05:00,227.17,228.66,226.41,226.96,38328800,AAPL
2024-11-11 00:00:00-05:00,225.0,225.7,221.5,224.23,42005600,AAPL
2024-11-12 00:00:00-05:00,224.55,225.59,223.36,224.23,40398300,AAPL
2024-11-13 00:00:00-05:00,224.01,226.65,222.76,225.12,48566200,AAPL
2024-11-14 00:00:00-05:00,225.02,228.87,225.0,228.22,44923900,AAPL
2024-11-15 00:00:00-05:00,226.4,226.92,224.27,225.0,47923700,AAPL
2024-11-18 00:00:00-05:00,225.25,229.74,225.17,228.02,44686000,AAPL
2024-11-19 00:00:00-05:00,226.98,230.16,226.66,228.28,36211800,AAPL
2024-11-20 00:00:00-05:00,228.06,229.93,225.89,229.0,35169600,AAPL
2024-11-21 00:00:00-05:00,228.88,230.16,225.71,228.52,42108300,AAPL
2024-11-22 00:00:00-05:00,228.06,230.72,228.06,229.87,38168300,AAPL
2024-11-25 00:00:00-05:00,231.46,233.25,229.74,232.87,90152800,AAPL
2024-11-26 00:00:00-05:00,233.33,235.57,233.33,235.06,45986200,AAPL
2024-11-27 00:00:00-05:00,234.47,235.69,233.81,234.93,33498400,AAPL
2024-11-29 00:00:00-05:00,234.81,237.81,233.97,237.33,28481400,AAPL
2024-12-02 00:00:00-05:00,237.27,240.79,237.16,239.59,48137100,AAPL
2024-12-03 00:00:00-05:00,239.81,242.76,238.9,242.65,38861000,AAPL
2024-12-04 00:00:00-05:00,242.87,244.11,241.25,243.01,44383900,AAPL
2024-12-05 00:00:00-05:00,243.99,244.54,242.13,243.04,40033900,AAPL
2024-12-06 00:00:00-05:00,242.91,244.63,242.08,242.84,36870600,AAPL
2024-12-09 00:00:00-05:00,241.83,247.24,241.75,246.75,44649200,AAPL
2024-12-10 00:00:00-05:00,246.89,248.21,245.34,247.77,36914800,AAPL
2024-12-11 00:00:00-05:00,247.96,250.8,246.26,246.49,45205800,AAPL
2024-12-12 00:00:00-05:00,246.89,248.74,245.68,247.96,32777500,AAPL
2024-12-13 00:00:00-05:00,247.82,249.29,246.24,248.13,33155300,AAPL
2024-12-16 00:00:00-05:00,247.99,251.38,247.65,251.04,51694800,AAPL
2024-12-17 00:00:00-05:00,250.08,253.83,249.78,253.48,51356400,AAPL
2024-12-18 00:00:00-05:00,252.16,254.28,247.74,248.05,56774100,AAPL
2024-12-19 00:00:00-05:00,247.5,252.0,247.09,249.79,60882300,AAPL
2024-12-20 00:00:00-05:00,248.04,255.0,245.69,254.49,147495300,AAPL
2024-12-23 00:00:00-05:00,254.77,255.65,253.45,255.27,40858800,AAPL
2024-12-24 00:00:00-05:00,255.49,258.21,255.29,258.2,23234700,AAPL
2024-12-26 00:00:00-05:00,258.19,260.1,257.63,259.02,27237100,AAPL
2024-12-27 00:00:00-05:00,257.83,258.7,253.06,255.59,42355300,AAPL
2024-12-30 00:00:00-05:00,252.23,253.5,250.75,252.2,35557500,AAPL
2024-12-31 00:00:00-05:00,252.44,253.28,249.43,250.42,39480700,AAPL
2025-01-02 00:00:00-05:00,248.93,249.1,241.82,243.85,55740700,AAPL
2025-01-03 00:00:00-05:00,243.36,244.18,241.89,243.36,40202700,AAPL
2024-01-04 00:00:00-05:00,368.66,371.07,365.17,365.94,20901500,MSFT
2024-01-05 00:00:00-05:00,366.96,370.04,364.51,365.75,20987000,MSFT
2024-01-08 00:00:00-05:00,367.29,373.16,367.0,372.65,23134000,MSFT
